Theta1,Theta2,Theta3,X,Y,Z,Orientation_1_1,Orientation_1_2,Orientation_1_3,Orientation_2_1,Orientation_2_2,Orientation_2_3,Orientation_3_1,Orientation_3_2,Orientation_3_3
0.737313,0.609084,-1.378454,3.737927,12.278439,5.595737,-0.54384,0.724475,0.423525,0.832032,0.399724,0.384635,0.109365,0.561566,-0.820172
0.737313,0.609084,-1.186112,4.733001,12.687589,6.301458,-0.395322,0.815075,0.423525,0.893099,0.233302,0.384635,0.214697,0.530305,-0.820172
0.737313,0.609084,-0.993769,5.825762,12.876049,6.954126,-0.232223,0.875613,0.423525,0.921228,0.058276,0.384635,0.31211,0.479484,-0.820172
0.737313,0.609084,-0.801427,6.975907,12.836866,7.529669,-0.060559,0.903858,0.423525,0.915379,-0.118899,0.384635,0.398012,0.41098,-0.820172
0.737313,0.609084,-0.673198,7.753643,12.684644,7.859894,0.055521,0.904181,0.423525,0.89266,-0.234979,0.384635,0.447299,0.356709,-0.820172
0.737313,0.609084,-0.480856,8.904825,12.2734,8.261488,0.227339,0.876894,0.423525,0.83128,-0.401285,0.384635,0.507238,0.264626,-0.820172
0.737313,0.609084,-0.288514,9.99983,11.656742,8.53774,0.390772,0.817266,0.423525,0.739241,-0.552791,0.384635,0.54847,0.162783,-0.820172
0.737313,0.609084,-0.096171,10.998272,10.857411,8.678461,0.539794,0.727495,0.423525,0.619938,-0.68391,0.384635,0.569473,0.054936,-0.820172
0.737313,0.609084,0.096171,11.863327,9.904889,8.678461,0.668906,0.610893,0.423525,0.477771,-0.789805,0.384635,0.569473,-0.054936,-0.820172
0.737313,0.609084,0.288514,12.563091,8.834306,8.53774,0.773349,0.471761,0.423525,0.317982,-0.86657,0.384635,0.54847,-0.162783,-0.820172
0.737313,0.609084,0.480856,13.071755,7.685148,8.261488,0.849269,0.315229,0.423525,0.146466,-0.911375,0.384635,0.507238,-0.264626,-0.820172
0.737313,0.609084,0.609084,13.29512,6.896246,8.006861,0.882607,0.204039,0.423525,0.02872,-0.922622,0.384635,0.469234,-0.327317,-0.820172
0.737313,0.609084,0.801427,13.447396,5.711038,7.529669,0.905334,0.031558,0.423525,-0.148177,-0.911098,0.384635,0.398012,-0.41098,-0.820172
0.737313,0.609084,0.993769,13.375957,4.562445,6.954126,0.894672,-0.142086,0.423525,-0.319609,-0.865971,0.384635,0.31211,-0.479484,-0.820172
0.737313,0.609084,1.186112,13.083438,3.49283,6.301458,0.851012,-0.31049,0.423525,-0.479253,-0.788906,0.384635,0.214697,-0.530305,-0.820172
0.737313,0.609084,1.378454,12.580628,2.541642,5.595737,0.775966,-0.467443,0.423525,-0.621221,-0.682745,0.384635,0.109365,-0.561566,-0.820172
0.737313,0.609084,1.570796,11.886071,1.743962,4.862992,0.672301,-0.607155,0.423525,-0.740278,-0.551403,0.384635,0.0,-0.572117,-0.820172
0.737313,0.673198,-1.442568,3.168846,11.85421,5.833855,-0.59277,0.659993,0.461556,0.801416,0.426646,0.419173,0.07973,0.618371,-0.781831
0.737313,0.673198,-1.31434,3.766919,12.175667,6.359275,-0.503505,0.730376,0.461556,0.849395,0.32066,0.419173,0.158151,0.603098,-0.781831
0.737313,0.673198,-1.121997,4.764567,12.481411,7.112161,-0.354602,0.813157,0.461556,0.895028,0.152378,0.419173,0.270522,0.561745,-0.781831
0.737313,0.673198,-0.929655,5.84984,12.565988,7.798199,-0.192621,0.865947,0.461556,0.907651,-0.021524,0.419173,0.372916,0.499673,-0.781831
0.737313,0.673198,-0.737313,6.982711,12.426276,8.392087,-0.023536,0.886799,0.461556,0.886799,-0.194633,0.419173,0.461556,0.419173,-0.781831
0.737313,0.673198,-0.54497,8.121398,12.067431,8.871921,0.146417,0.874945,0.461556,0.83324,-0.360563,0.419173,0.533173,0.323212,-0.781831
0.737313,0.673198,-0.352628,9.223905,11.502686,9.220004,0.310971,0.830821,0.461556,0.74895,-0.513195,0.419173,0.585125,0.215332,-0.781831
0.737313,0.673198,-0.160285,10.249568,10.75287,9.423498,0.464055,0.756055,0.461556,0.637037,-0.646899,0.419173,0.615498,0.099509,-0.781831
0.737313,0.673198,-0.032057,10.871812,10.16358,9.474899,0.556927,0.690506,0.461556,0.549083,-0.723051,0.419173,0.623169,0.019984,-0.781831
0.737313,0.673198,0.160285,11.687376,9.169683,9.423498,0.678653,0.571311,0.461556,0.40074,-0.814679,0.419173,0.615498,-0.099509,-0.781831
0.737313,0.673198,0.352628,12.33524,8.076759,9.220004,0.775349,0.431045,0.461556,0.237617,-0.87626,0.419173,0.585125,-0.215332,-0.781831
0.737313,0.673198,0.54497,12.79151,6.925119,8.871921,0.843449,0.274882,0.461556,0.065731,-0.905524,0.419173,0.533173,-0.323212,-0.781831
0.737313,0.673198,0.737313,13.039357,5.757236,8.392087,0.880441,0.10858,0.461556,-0.10858,-0.90139,0.419173,0.461556,-0.419173,-0.781831
0.737313,0.673198,0.929655,13.069641,4.616185,7.798199,0.884961,-0.061726,0.461556,-0.278886,-0.864012,0.419173,0.372916,-0.499673,-0.781831
0.737313,0.673198,1.057883,12.968076,3.89126,7.349578,0.869802,-0.174386,0.461556,-0.387084,-0.821255,0.419173,0.305957,-0.543258,-0.781831
0.737313,0.673198,1.250226,12.637263,2.887252,6.615991,0.820427,-0.33744,0.461556,-0.536936,-0.732116,0.419173,0.196467,-0.591727,-0.781831
0.737313,0.673198,1.442568,12.103715,2.015926,5.833855,0.740793,-0.488049,0.461556,-0.666985,-0.615975,0.419173,0.07973,-0.618371,-0.781831
